model,lite_index,task_id,family,topology,selected_attempt,run_ref,task_version,result_basis,raw_result,adopted_result,evaluation_status,raw_score,adopted_score,score_basis,steps,duration,termination_reason,failure_class,device_count,device_types,device_ids,metadata_ref,result_index_ref
qwen3.7-plus,11,al2_alarm_calc_email,real200,1A+2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/011_al2_alarm_calc_email,sha256:a0c80ad6a665bcd578cfa0f67c2c4eb6acf32e3313c51b509700b162c23de8b0,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,30,1854.342,time_limit,timeout,3,android+linux,android_0+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/011_al2_alarm_calc_email/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,12,a2l_contact_otp_web_form,real200,2A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/012_a2l_contact_otp_web_form,sha256:703f478474ed580001d37009f654a78b773ae48fb8c37fc52173bdf1e5f9f78c,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,25,1851.06,time_limit,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/012_a2l_contact_otp_web_form/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,13,al_thunderbird_attachment_to_tasks,real200,1A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/013_al_thunderbird_attachment_to_tasks,sha256:f0fae2f6dceeeebbac6d71fd04fd1d389e1d7b9fc26f3b2afa27422215fc7d58,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,32,1836.664,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/013_al_thunderbird_attachment_to_tasks/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,14,l2_vscode_settings_update,real200,2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/014_l2_vscode_settings_update,sha256:98b04aa99b30ef180b6119d9e6761f958bfd7fad65595bb0a4d932511d4a6b8b,final_merged_selected_attempt,PASS,PASS,lifecycle_valid,1.0,1.0,selected_attempt_evaluator_trace,4,253.775,done,passed,2,linux,linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/014_l2_vscode_settings_update/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,15,a2l_media_manifest,real200,2A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/015_a2l_media_manifest,sha256:acc64d3962d305a6ff1e48e4bd34d1590dd70cb883fbc3320b7974c34c367d30,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,36,1855.684,time_limit,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/015_a2l_media_manifest/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,16,a2_alarm_conflict_log,real200,2A,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/016_a2_alarm_conflict_log,sha256:afd988e3d50d2ebbdfc12ee446e4335c1fbe0a916edf5a765ed8dbf2462c42ee,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.3333333333333333,0.3333333333333333,selected_attempt_evaluator_trace,24,1841.382,time_limit,timeout,2,android,android_0+android_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/016_a2_alarm_conflict_log/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,17,al_writer_from_note_gui,real200,1A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/017_al_writer_from_note_gui,sha256:2669d09f2f7f0ce72266ef395503ab6fea03c5e69355f7a9301c20538c39427d,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,23,1917.442,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/017_al_writer_from_note_gui/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,18,al_playlist_from_csv,real200,1A+1L,repair_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/repair_01/018_al_playlist_from_csv,sha256:db437384a8d1984e0272115acaa6dca2f0ad3e1edb8adfbba827526c53f50867,final_merged_infrastructure_repair:lite_18,INFRASTRUCTURE_INVALID,FAIL,lifecycle_valid,,0.0,official_repair_attempt_evaluator_trace,38,1815.311,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/repair_01/018_al_playlist_from_csv/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,19,a2l2_vscode_web_music_final_gate,real300,A+A+L+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/019_a2l2_vscode_web_music_final_gate,sha256:83b2ff68deb68ee6cfa52d7bbae56b49fc831265caead36c1a094f24587cadb2,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,16,1896.442,time_limit,timeout,4,android+linux,android_0+android_1+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/019_a2l2_vscode_web_music_final_gate/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,20,al2_mail_calc_alarm_sync,real300,A+L+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/020_al2_mail_calc_alarm_sync,sha256:ddaefdfa545a9a4cd551d36f79b6aa33d557ce4916a2e7c797c7cf31b9b7a737,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.3333333333333333,0.3333333333333333,selected_attempt_evaluator_trace,32,2032.422,time_limit,timeout,3,android+linux,android_0+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/020_al2_mail_calc_alarm_sync/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,21,al_map_audio_packet,real300,A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/021_al_map_audio_packet,sha256:406a02c27bd98075d2661f6f29d44d15ff1e6acdcfae8dad3c6912f7ad35bdb6,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,28,1922.868,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/021_al_map_audio_packet/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,22,a2l_audio_thunderbird_draft,real300,A+A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/022_a2l_audio_thunderbird_draft,sha256:fbdb0e8e62eaaf1991423159806191e88304d020ea2e9b4461c3626c6f1fb56e,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,36,1828.112,time_limit,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/022_a2l_audio_thunderbird_draft/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,23,al_camera_web_upload_form,real300,A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/023_al_camera_web_upload_form,sha256:624f8f639f1f55fe5bb79cccbb2e4ee176c1b4e4786009fb5e21712ae98c3b3d,final_merged_selected_attempt,PASS,PASS,lifecycle_valid,1.0,1.0,selected_attempt_evaluator_trace,15,552.328,done,passed,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/023_al_camera_web_upload_form/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,24,a2l_osmand_calc_visit,real300,A+A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/024_a2l_osmand_calc_visit,sha256:c97c3d13fef72fcaf64ed18bb4158dfd573fc4b2098f67e03e926212a7587837,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,10,470.141,done,model_behavior,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/024_a2l_osmand_calc_visit/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,25,a2_gallery_cleanup_log,real300,A+A,repair_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/repair_01/025_a2_gallery_cleanup_log,sha256:f6c1f0ee8af13a800138668509f55754a0aa1d3d195903a71f186b63bbe57599,final_merged_infrastructure_repair:lite_25,INFRASTRUCTURE_INVALID,FAIL,lifecycle_valid,,0.0,official_repair_attempt_evaluator_trace,24,1824.191,time_limit,timeout,2,android,android_0+android_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/repair_01/025_a2_gallery_cleanup_log/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,26,l2_mail_rule_foldering,real300,L+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/026_l2_mail_rule_foldering,sha256:ee50eb532b8c9f8addb05ae89d38a964181d0ba2bc4a82c90184f2144febe336,final_merged_selected_attempt,PASS,PASS,lifecycle_valid,1.0,1.0,selected_attempt_evaluator_trace,8,316.58,done,passed,2,linux,linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/026_l2_mail_rule_foldering/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,27,a2l2_training_media_deck_email,real300,A+A+L+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/027_a2l2_training_media_deck_email,sha256:b79a5454602c6035e420ea485e1206338784f56f9eb54aacf11df940d0c12309,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,50,1480.57,max_steps,timeout,4,android+linux,android_0+android_1+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/027_a2l2_training_media_deck_email/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,28,a2l_browser_dual_phone_code,real300,A+A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/028_a2l_browser_dual_phone_code,sha256:599b4527aaf87d2b52732fdda5911eda5710858fb1585a782b8cf2945995310c,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,50,845.768,max_steps,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/028_a2l_browser_dual_phone_code/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,29,al_sms_web_download_statement,real300,A+L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/029_al_sms_web_download_statement,sha256:881c2961a734d529512d9cb016720f6a75aacd06b26d3f80286e05b0dd84858b,final_merged_selected_attempt,PASS,PASS,lifecycle_valid,1.0,1.0,selected_attempt_evaluator_trace,37,688.826,done,passed,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/029_al_sms_web_download_statement/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,30,a2_gallery_album_to_tasks,real300,A+A,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/030_a2_gallery_album_to_tasks,sha256:6b4a379681fea8b6f4a742c9e103a40d3277d0e44f46116f60c8f8d863b7d50b,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,50,728.667,max_steps,timeout,2,android,android_0+android_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/030_a2_gallery_album_to_tasks/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,31,linux_android_904,linux_android,android_0+android_1+linux_0+linux_1,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/031_linux_android_904,sha256:d52d0dc17fdc4540525ae29cc61e0e64aea2561172a31aa0d4800e17c1cc03b4,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.3333333333333333,0.3333333333333333,selected_attempt_evaluator_trace,50,1137.145,max_steps,timeout,4,android+linux,android_0+android_1+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/031_linux_android_904/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,32,linux_android_1040,linux_android,android_0+android_1+linux_0,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/032_linux_android_1040,sha256:a3048d71fcfbf7e3ca992fb741239a7c8f3be743fd865467b5f69853bff19ca8,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.3333333333333333,0.3333333333333333,selected_attempt_evaluator_trace,50,1026.117,max_steps,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/032_linux_android_1040/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
